OPERACIàN VOLROD AVALéOS 2025;;;;;;2024;;2025;;Financiero;;
Estado;Departamento;Municipio;Kms;Tipo Ubicaci¢n;Tipo de RH;Tarifa a Cliente;Costo RH Destajo;Tarifa a Cliente;Costo RH Destajo;Margen;Aumento 2025;
Inactivo;Antioquia;La Estrella;4;Principal;Dedicado;$ 81.000;$ 56.700;$ 89.100;$ 60.100;33%;;
Inactivo;Antioquia;Retiro;32; Secundario;Dedicado;$ 93.000;$ 65.100;$ 102.300;$ 69.000;33%;;
Inactivo;Antioquia;Rionegro;40; Secundario;Dedicado;$ 132.000;$ 105.600;$ 145.200;$ 111.900;23%;;
Inactivo;Antioquia;San Jer¢nimo;35; Secundario;Dedicado;$ 99.000;$ 69.300;$ 108.900;$ 73.400;33%;;
Inactivo;Antioquia;San Vicente;55; Secundario;Dedicado;$ 102.000;$ 81.600;$ 112.200;$ 86.400;23%;;
Inactivo;Atl ntico;Barranquilla;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Inactivo;Atl ntico;Baranoa;30; Secundario;Destajo;$ 102.000;$ 81.600;$ 112.200;$ 86.400;23%;;
Inactivo;Atl ntico;Galapa;18;Cercano;Destajo;$ 80.000;$ 48.000;$ 88.000;$ 50.800;42%;;
Inactivo;Atl ntico;Malambo;24;Cercano;Destajo;$ 87.000;$ 60.900;$ 95.700;$ 64.500;33%;;
Inactivo;Atl ntico;Puerto Colombia;20;Cercano;Destajo;$ 86.000;$ 60.200;$ 94.600;$ 63.800;33%;;
Inactivo;Atl ntico;Santo Tom s;48; Secundario;Destajo;$ 104.000;$ 83.200;$ 114.400;$ 88.100;23%;;
Inactivo;Atl ntico;Soledad;16;Cercano;Destajo;$ 79.000;$ 47.400;$ 86.900;$ 50.200;42%;;
Inactivo;Bol¡var;Cartagena;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Inactivo;Bol¡var;Arjona;24;Cercano;Destajo;$ 116.000;$ 92.800;$ 127.600;$ 98.300;23%;;
Inactivo;Bol¡var;Santa Rosa;16;Cercano;Destajo;$ 99.000;$ 69.300;$ 108.900;$ 73.400;33%;;
Inactivo;Bol¡var;Turbaco;11;Cercano;Destajo;$ 99.000;$ 69.300;$ 108.900;$ 73.400;33%;;
Activo;Boyac ;Tunja;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
